Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 74)"	G. [13C-glc] G2.5 240min	G2.5	240min	Glutamate 149/131	149.0 / 131.0	19256.4335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 74)"	G. [13C-glc] G2.5 240min	G2.5	240min	Glutamate 150/132	150.0 / 132.0	10654.3915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 74)"	G. [13C-glc] G2.5 240min	G2.5	240min	Glutamate 151/133	151.0 / 133.0	1155.3665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	taurine	124.0 / 80.0	494339.3915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	D4-taurine	128.0 / 80.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	PEP 167/79	167.0 / 79.0	26059.058	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	PEP 168/79	168.0 / 79.0	7444.383	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	PEP 169/79	169.0 / 79.0	5647.658	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	PEP 170/79	170.0 / 79.0	258.017	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 132/88	132.0 / 88.0	98849.858	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 133/88	133.0 / 88.0	1540.5335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 133/89	133.0 / 89.0	9114.425	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 134/90	134.0 / 90.0	1028.2505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 134/89	134.0 / 89.0	385.1	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 135/91	135.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 135/90	135.0 / 90.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Aspartate 136/91	136.0 / 91.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	3PG 185/79	185.0 / 79.0	1028.217	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	3PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	2PG 185/79	185.0 / 79.0	9370.2495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	2PG 186/79	186.0 / 79.0	2441.7675	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	2PG 187/79	187.0 / 79.0	2568.917	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	2PG 188/79	188.0 / 79.0	258.017	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Malate 133/115	133.0 / 115.0	239800.1835	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Malate 134/116	134.0 / 116.0	24518.358	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Malate 135/117	135.0 / 117.0	7447.9675	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Malate 136/118	136.0 / 118.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Malate 137/119	137.0 / 119.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 146/102	146.0 / 102.0	956395.683	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 147/102	147.0 / 102.0	22976.7325	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 147/103	147.0 / 103.0	127477.6335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/104	148.0 / 104.0	46986.0335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/103	148.0 / 103.0	899.342	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/105	149.0 / 105.0	1540.7	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/104	149.0 / 104.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 150/106	150.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 150/105	150.0 / 105.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 151/106	151.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 146/41	146.0 / 41.0	37484.4495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 147/41	147.0 / 41.0	1669.575	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 147/42	147.0 / 42.0	1413.417	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/41	148.0 / 41.0	127.4435103	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/42	148.0 / 42.0	512.915076	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/43	148.0 / 43.0	258.017	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/41	149.0 / 41.0	129.0085	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/42	149.0 / 42.0	125.1824868	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 146/128	146.0 / 128.0	2309727.372	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 147/129	147.0 / 129.0	174212.134	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 148/130	148.0 / 130.0	37489.634	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 149/131	149.0 / 131.0	2181.658	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 150/132	150.0 / 132.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 75)"	"H. [6,6-DD-glc] G2.5 240min"	G2.5	240min	Glutamate 151/133	151.0 / 133.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	taurine	124.0 / 80.0	600943.7195	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	D4-taurine	128.0 / 80.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	PEP 167/79	167.0 / 79.0	28369.758	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	PEP 168/79	168.0 / 79.0	4109.017	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	PEP 169/79	169.0 / 79.0	385.2	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	PEP 170/79	170.0 / 79.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 132/88	132.0 / 88.0	54943.2915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 133/88	133.0 / 88.0	1798.5835	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 133/89	133.0 / 89.0	6547.0335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 134/90	134.0 / 90.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 134/89	134.0 / 89.0	250.9746576	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 135/91	135.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 135/90	135.0 / 90.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	3PG 185/79	185.0 / 79.0	4234.341	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	3PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	2PG 185/79	185.0 / 79.0	18355.366	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	2PG 186/79	186.0 / 79.0	2052.683	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	2PG 187/79	187.0 / 79.0	514.2085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	2PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Malate 133/115	133.0 / 115.0	274712.6655	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Malate 134/116	134.0 / 116.0	24389.8495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Malate 135/117	135.0 / 117.0	5010.2845	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Malate 136/118	136.0 / 118.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Malate 137/119	137.0 / 119.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 146/102	146.0 / 102.0	782323.983	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 147/102	147.0 / 102.0	16433.4835	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 147/103	147.0 / 103.0	72408.151	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/104	148.0 / 104.0	7704.359	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/103	148.0 / 103.0	772.259	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/105	149.0 / 105.0	258.017	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/104	149.0 / 104.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 150/106	150.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 150/105	150.0 / 105.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 151/106	151.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 146/41	146.0 / 41.0	22467.3085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 147/41	147.0 / 41.0	896.9087108	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 147/42	147.0 / 42.0	514.142	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/41	148.0 / 41.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/42	148.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/43	148.0 / 43.0	252.2179822	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/41	149.0 / 41.0	125.9370908	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/42	149.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 146/128	146.0 / 128.0	1758139.808	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 147/129	147.0 / 129.0	114130.7085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 148/130	148.0 / 130.0	19389.6595	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 149/131	149.0 / 131.0	1284.342	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 150/132	150.0 / 132.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 76)"	I. [13C-glc] G5 0min	G5	0min	Glutamate 151/133	151.0 / 133.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	taurine	124.0 / 80.0	556723.666	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	D4-taurine	128.0 / 80.0	770.2	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	PEP 167/79	167.0 / 79.0	7061.175	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	PEP 168/79	168.0 / 79.0	2822.783	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	PEP 169/79	169.0 / 79.0	2568.617	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	PEP 170/79	170.0 / 79.0	26571.541	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 132/88	132.0 / 88.0	49293.5745	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 133/88	133.0 / 88.0	1155.4665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 133/89	133.0 / 89.0	4107.3915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 134/90	134.0 / 90.0	641.2915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 134/89	134.0 / 89.0	129.0085	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 135/91	135.0 / 91.0	899.242	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 135/90	135.0 / 90.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	3PG 185/79	185.0 / 79.0	1669.542	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	3PG 188/79	188.0 / 79.0	2564.966	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	2PG 185/79	185.0 / 79.0	12324.0665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	2PG 186/79	186.0 / 79.0	2181.7915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	2PG 187/79	187.0 / 79.0	897.283	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	2PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Malate 133/115	133.0 / 115.0	235561.2915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Malate 134/116	134.0 / 116.0	21437.2915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Malate 135/117	135.0 / 117.0	10272.9425	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 77)"	J. [13C-glc] G5 5min	G5	5min	Malate 136/118	136.0 / 118.0	8855.8745	FALSE
